time_limit,benchmark,job_n,mc_n,instance_i,makespan,run_t,convergence
1,SWV,20,15,4,2094,0.9699,2
1,SWV,50,10,0,3560,0.7955,2
1,SWV,50,10,1,3573,0.7969,2
1,SWV,50,10,2,3566,0.7908,2
1,SWV,50,10,3,3417,0.7897,2
1,SWV,50,10,4,3356,0.7954,2
1,SWV,50,10,5,3108,1.2852,2
1,SWV,50,10,6,2925,0.7992,2
1,SWV,50,10,7,2951,0.8078,2
1,SWV,50,10,8,3012,0.8818,2
1,SWV,50,10,9,2980,0.8433,2
1,DMU,20,15,0,2758,1.0091,2
1,DMU,20,15,1,3143,1.0261,2
1,DMU,20,15,2,3030,1.0311,2
1,DMU,20,15,3,2874,0.9319,2
1,DMU,20,15,4,3141,1,2
1,DMU,20,15,5,3761,0.9523,2
1,DMU,20,15,6,3941,0.9668,2
1,DMU,20,15,7,3861,1.0657,2
1,DMU,20,15,8,4135,1.084,2
1,DMU,20,15,9,3632,0.8842,2
1,DMU,20,20,0,3803,0.9094,2
1,DMU,20,20,1,3452,0.9288,2
1,DMU,20,20,2,3725,0.9051,2
1,DMU,20,20,3,3677,0.9102,2
1,DMU,20,20,4,3252,0.9238,2
1,DMU,20,20,5,4996,0.8504,2
1,DMU,20,20,6,4512,0.917,2
1,DMU,20,20,7,4357,0.8715,2
1,DMU,20,20,8,4379,0.8893,2
1,DMU,20,20,9,4493,0.8756,2
1,DMU,30,15,0,4220,0.7605,2
1,DMU,30,15,1,4403,0.7049,2
1,DMU,30,15,2,4459,1.1863,2
1,DMU,30,15,3,4262,0.9624,2
1,DMU,30,15,4,3939,0.7581,2
1,DMU,30,15,5,5321,0.8721,2
1,DMU,30,15,6,5306,0.8824,2
1,DMU,30,15,7,5144,1.0852,2
1,DMU,30,15,8,5283,0.9184,2
1,DMU,30,15,9,5027,0.9062,2
1,DMU,30,20,0,4644,1.0571,2
1,DMU,30,20,1,4602,1.0398,2
1,DMU,30,20,2,5200,0.986,2
