benchmark,job_n,mc_n,instance_i,agent_type,action_type,state_type,rule,makespan,run_t,mean_transit_t,decision_n
LA,10,5,1,rule,single_mc_buffer,simple,LRPT,817,0.0239,0.0009,26
LA,10,5,1,rule,single_mc_buffer,simple,STT,786,0.0149,0.0008,19
LA,10,5,1,rule,single_mc_buffer,simple,LTT,835,0.0199,0.0008,25
LA,10,5,1,rule,single_mc_buffer,simple,LOR,982,0.0169,0.0008,22
LA,10,5,1,rule,single_mc_buffer,simple,MOR,812,0.0189,0.0008,25
LA,10,5,2,rule,single_mc_buffer,simple,SPT,672,0.0179,0.0009,19
LA,10,5,2,rule,single_mc_buffer,simple,LPT,825,0.0169,0.0007,25
LA,10,5,2,rule,single_mc_buffer,simple,SRPT,822,0.013,0.0008,17
LA,10,5,2,rule,single_mc_buffer,simple,LRPT,696,0.014,0.0007,20
LA,10,5,2,rule,single_mc_buffer,simple,STT,806,0.013,0.0007,18
LA,10,5,2,rule,single_mc_buffer,simple,LTT,696,0.015,0.0007,23
LA,10,5,2,rule,single_mc_buffer,simple,LOR,758,0.0149,0.0007,21
LA,10,5,2,rule,single_mc_buffer,simple,MOR,726,0.015,0.0006,24
LA,10,5,3,rule,single_mc_buffer,simple,SPT,711,0.015,0.0007,23
LA,10,5,3,rule,single_mc_buffer,simple,LPT,818,0.014,0.0007,21
LA,10,5,3,rule,single_mc_buffer,simple,SRPT,833,0.0159,0.0007,24
LA,10,5,3,rule,single_mc_buffer,simple,LRPT,758,0.0159,0.0007,24
LA,10,5,3,rule,single_mc_buffer,simple,STT,758,0.014,0.0008,18
LA,10,5,3,rule,single_mc_buffer,simple,LTT,696,0.0149,0.0007,22
LA,10,5,3,rule,single_mc_buffer,simple,LOR,745,0.015,0.0008,20
