problem,job_n,mc_n,i,UB,time,convergence
DMU,20,15,5,3353,300.3355,2
DMU,20,15,6,3531,300.2956,2
DMU,20,15,7,3546,300.2926,2
DMU,20,15,8,3628,300.3265,2
DMU,20,15,9,3382,300.3394,2
DMU,20,20,0,3310,300.2769,2
DMU,20,20,1,3115,300.2642,2
DMU,20,20,2,3202,300.2499,2
DMU,20,20,3,3119,300.2729,2
DMU,20,20,4,2998,300.2306,2
DMU,20,20,5,4152,300.2354,2
DMU,20,20,6,4121,300.2911,2
DMU,20,20,7,3885,300.3108,2
DMU,20,20,8,3861,300.3216,2
DMU,20,20,9,3819,300.2998,2
DMU,30,15,0,3522,300.3325,2
DMU,30,15,1,3615,300.0534,2
DMU,30,15,2,3737,300.4704,2
DMU,30,15,3,3394,209.3684,4
DMU,30,15,4,3355,299.9956,2
DMU,30,15,5,4498,300.201,2
DMU,30,15,6,4615,300.0226,2
DMU,30,15,7,4694,300.3554,2
DMU,30,15,8,4653,300.3739,2
DMU,30,15,9,4593,300.3369,2
DMU,30,20,0,3859,300.271,2
DMU,30,20,1,3971,300.5373,2
DMU,30,20,2,4011,300.2543,2
DMU,30,20,3,3919,300.3169,2
DMU,30,20,4,3862,300.296,2
DMU,30,20,5,5279,300.3332,2
DMU,30,20,6,5201,300.3388,2
DMU,30,20,7,5095,300.3656,2
DMU,30,20,8,4935,299.8243,2
DMU,30,20,9,5074,300.1802,2
DMU,40,15,0,4380,278.6026,4
DMU,40,15,1,4725,132.6465,4
DMU,40,15,2,4668,113.4657,4
DMU,40,15,3,4648,29.7014,4
DMU,40,15,4,4164,42.4671,4
DMU,40,15,5,5626,300.3183,2
DMU,40,15,6,5722,300.163,2
DMU,40,15,7,5842,300.3564,2
DMU,40,15,8,5883,300.462,2
DMU,40,15,9,5736,300.3637,2
DMU,40,20,0,4823,300.3567,2
DMU,40,20,1,5005,300.3433,2
DMU,40,20,2,4850,300.3073,2
DMU,40,20,3,4873,300.33,2
DMU,40,20,4,4939,300.3408,2
DMU,40,20,5,6405,300.3628,2
DMU,40,20,6,6433,300.3907,2
DMU,40,20,7,6413,300.336,2
DMU,40,20,8,6248,300.4014,2
DMU,40,20,9,6773,299.726,2
DMU,50,15,0,5677,300.3255,2
DMU,50,15,1,5927,19.5119,4
DMU,50,15,2,5728,90.798,4
DMU,50,15,3,5385,122.2062,4
DMU,50,15,4,5635,152.2543,4
DMU,50,15,5,7052,300.3768,2
DMU,50,15,6,7271,300.61,2
DMU,50,15,7,6796,300.3651,2
DMU,50,15,8,6760,300.4039,2
DMU,50,15,9,6882,299.6183,2
DMU,50,20,0,5896,300.4183,2
DMU,50,20,1,6043,300.39,2
DMU,50,20,2,5982,300.3604,2
DMU,50,20,3,5789,300.3742,2
DMU,50,20,4,5775,300.2822,2
DMU,50,20,5,7808,300.4344,2
DMU,50,20,6,7747,300.4279,2
DMU,50,20,7,7618,300.3602,2
DMU,50,20,8,7829,300.4132,2
DMU,50,20,9,7595,300.4298,2
