benchmark,job_n,mc_n,instance_i,agent_type,action_type,state_type,rule,makespan
ORB,10,10,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,416
ORB,10,10,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,988
ORB,10,10,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1021
ORB,10,10,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1017
SWV,20,10,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1585
SWV,20,10,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1606
SWV,20,10,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1463
SWV,20,10,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1745
SWV,20,10,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1620
SWV,20,15,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1928
SWV,20,15,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1781
SWV,20,15,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2031
SWV,20,15,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1857
SWV,20,15,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1909
SWV,50,10,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3150
SWV,50,10,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3201
SWV,50,10,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3356
SWV,50,10,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3154
SWV,50,10,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3246
SWV,50,10,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2925
SWV,50,10,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2809
SWV,50,10,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2856
SWV,50,10,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2860
SWV,50,10,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2824
YN,20,20,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,987
YN,20,20,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1013
YN,20,20,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1019
YN,20,20,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1138
DMU,20,15,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2876
DMU,20,15,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2987
DMU,20,15,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3022
DMU,20,15,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3076
DMU,20,15,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3065
DMU,20,15,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3554
DMU,20,15,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3748
DMU,20,15,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3841
DMU,20,15,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3877
DMU,20,15,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3616
DMU,20,20,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3639
DMU,20,20,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3417
DMU,20,20,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3511
DMU,20,20,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3447
DMU,20,20,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3281
DMU,20,20,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4437
DMU,20,20,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4481
DMU,20,20,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4335
DMU,20,20,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4331
DMU,20,20,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4156
DMU,30,15,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4108
DMU,30,15,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3921
DMU,30,15,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4042
DMU,30,15,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3728
DMU,30,15,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3747
DMU,30,15,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4652
DMU,30,15,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4985
DMU,30,15,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5081
DMU,30,15,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4854
DMU,30,15,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4894
DMU,30,20,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4475
DMU,30,20,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4387
DMU,30,20,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4335
DMU,30,20,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4412
DMU,30,20,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4259
DMU,30,20,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5647
DMU,30,20,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5469
DMU,30,20,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5390
DMU,30,20,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5506
DMU,30,20,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5396
DMU,40,15,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4767
DMU,40,15,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4943
DMU,40,15,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4805
DMU,40,15,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4803
DMU,40,15,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,4355
DMU,40,15,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,6004
DMU,40,15,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5925
DMU,40,15,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,6012
DMU,40,15,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5903
DMU,40,15,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5739
DMU,40,20,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5380
DMU,40,20,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5264
DMU,40,20,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5215
DMU,40,20,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5093
DMU,40,20,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5350
DMU,40,20,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,6806
DMU,40,20,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,6630
DMU,40,20,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,6577
DMU,40,20,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,6480
DMU,40,20,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,6609
DMU,50,15,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5822
DMU,50,15,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5932
DMU,50,15,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5808
DMU,50,15,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5436
DMU,50,15,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5668
DMU,50,15,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,6866
DMU,50,15,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,7159
DMU,50,15,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,6883
DMU,50,15,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,6940
DMU,50,15,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,6962
DMU,50,20,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,6003
DMU,50,20,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,6270
DMU,50,20,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,6326
DMU,50,20,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,6419
DMU,50,20,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5960
DMU,50,20,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,7766
DMU,50,20,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,7781
DMU,50,20,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,8020
DMU,50,20,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,8112
DMU,50,20,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,7496
