benchmark,job_n,mc_n,instance_i,agent_type,action_type,rule,makespan,time
TA,20,20,7,rule,buffer,LTT,1869,0.3445
TA,20,20,7,rule,buffer,MOR,1969,0.3445
TA,20,20,7,rule,buffer,FDD/MWKR,1923,0.3445
TA,20,20,7,rule,buffer,LRPT,1997,0.3445
TA,20,20,7,rule,buffer,SPT,1968,0.3445
TA,20,20,8,rule,buffer,LTT,1871,0.3349
TA,20,20,8,rule,buffer,MOR,1974,0.3349
TA,20,20,8,rule,buffer,FDD/MWKR,1892,0.3349
TA,20,20,8,rule,buffer,LRPT,1860,0.3349
TA,20,20,8,rule,buffer,SPT,2166,0.3349
TA,20,20,9,rule,buffer,LTT,1896,0.3548
TA,20,20,9,rule,buffer,MOR,1936,0.3548
TA,20,20,9,rule,buffer,FDD/MWKR,1927,0.3548
TA,20,20,9,rule,buffer,LRPT,1935,0.3548
TA,20,20,9,rule,buffer,SPT,1999,0.3548
TA,30,15,0,rule,buffer,LTT,2146,0.4286
TA,30,15,0,rule,buffer,MOR,2122,0.4286
TA,30,15,0,rule,buffer,FDD/MWKR,2116,0.4286
TA,30,15,0,rule,buffer,LRPT,2134,0.4286
TA,30,15,0,rule,buffer,SPT,2335,0.4286
TA,30,15,1,rule,buffer,LTT,2163,0.4136
TA,30,15,1,rule,buffer,MOR,2161,0.4136
TA,30,15,1,rule,buffer,FDD/MWKR,2273,0.4136
TA,30,15,1,rule,buffer,LRPT,2223,0.4136
TA,30,15,1,rule,buffer,SPT,2432,0.4136
TA,30,15,2,rule,buffer,LTT,2238,0.4044
TA,30,15,2,rule,buffer,MOR,2299,0.4044
TA,30,15,2,rule,buffer,FDD/MWKR,2296,0.4044
TA,30,15,2,rule,buffer,LRPT,2349,0.4044
TA,30,15,2,rule,buffer,SPT,2453,0.4044
TA,30,15,3,rule,buffer,LTT,2071,0.4192
TA,30,15,3,rule,buffer,MOR,2103,0.4192
TA,30,15,3,rule,buffer,FDD/MWKR,2168,0.4192
TA,30,15,3,rule,buffer,LRPT,2245,0.4192
TA,30,15,3,rule,buffer,SPT,2434,0.4192
TA,30,15,4,rule,buffer,LTT,2161,0.412
TA,30,15,4,rule,buffer,MOR,2230,0.412
TA,30,15,4,rule,buffer,FDD/MWKR,2225,0.412
TA,30,15,4,rule,buffer,LRPT,2226,0.412
TA,30,15,4,rule,buffer,SPT,2497,0.412
TA,30,15,5,rule,buffer,LTT,2412,0.4201
TA,30,15,5,rule,buffer,MOR,2216,0.4201
TA,30,15,5,rule,buffer,FDD/MWKR,2186,0.4201
TA,30,15,5,rule,buffer,LRPT,2365,0.4201
TA,30,15,5,rule,buffer,SPT,2445,0.4201
TA,30,15,6,rule,buffer,LTT,2018,0.4256
TA,30,15,6,rule,buffer,MOR,2228,0.4256
TA,30,15,6,rule,buffer,FDD/MWKR,2232,0.4256
TA,30,15,6,rule,buffer,LRPT,2168,0.4256
TA,30,15,6,rule,buffer,SPT,2664,0.4256
TA,30,15,7,rule,buffer,LTT,2005,0.4252
TA,30,15,7,rule,buffer,MOR,2124,0.4252
TA,30,15,7,rule,buffer,FDD/MWKR,1991,0.4252
TA,30,15,7,rule,buffer,LRPT,2050,0.4252
TA,30,15,7,rule,buffer,SPT,2155,0.4252
TA,30,15,8,rule,buffer,LTT,2118,0.4664
TA,30,15,8,rule,buffer,MOR,2130,0.4664
TA,30,15,8,rule,buffer,FDD/MWKR,2154,0.4664
TA,30,15,8,rule,buffer,LRPT,2221,0.4664
TA,30,15,8,rule,buffer,SPT,2477,0.4664
TA,30,15,9,rule,buffer,LTT,2164,0.4034
TA,30,15,9,rule,buffer,MOR,2093,0.4034
TA,30,15,9,rule,buffer,FDD/MWKR,2109,0.4034
TA,30,15,9,rule,buffer,LRPT,2205,0.4034
TA,30,15,9,rule,buffer,SPT,2301,0.4034
TA,30,20,0,rule,buffer,LTT,2583,0.6301
TA,30,20,0,rule,buffer,MOR,2556,0.6301
TA,30,20,0,rule,buffer,FDD/MWKR,2537,0.6301
TA,30,20,0,rule,buffer,LRPT,2620,0.6301
TA,30,20,0,rule,buffer,SPT,2499,0.6301
TA,30,20,1,rule,buffer,LTT,2494,0.6408
TA,30,20,1,rule,buffer,MOR,2480,0.6408
TA,30,20,1,rule,buffer,FDD/MWKR,2388,0.6408
TA,30,20,1,rule,buffer,LRPT,2416,0.6408
TA,30,20,1,rule,buffer,SPT,2710,0.6408
TA,30,20,2,rule,buffer,LTT,2253,0.6856
TA,30,20,2,rule,buffer,MOR,2371,0.6856
TA,30,20,2,rule,buffer,FDD/MWKR,2354,0.6856
TA,30,20,2,rule,buffer,LRPT,2345,0.6856
TA,30,20,2,rule,buffer,SPT,2434,0.6856
TA,30,20,3,rule,buffer,LTT,2459,0.6997
TA,30,20,3,rule,buffer,MOR,2384,0.6997
TA,30,20,3,rule,buffer,FDD/MWKR,2423,0.6997
TA,30,20,3,rule,buffer,LRPT,2544,0.6997
TA,30,20,3,rule,buffer,SPT,2906,0.6997
TA,30,20,4,rule,buffer,LTT,2510,0.653
TA,30,20,4,rule,buffer,MOR,2473,0.653
TA,30,20,4,rule,buffer,FDD/MWKR,2461,0.653
TA,30,20,4,rule,buffer,LRPT,2524,0.653
TA,30,20,4,rule,buffer,SPT,2640,0.653
TA,30,20,5,rule,buffer,LTT,2449,0.636
TA,30,20,5,rule,buffer,MOR,2526,0.636
TA,30,20,5,rule,buffer,FDD/MWKR,2506,0.636
TA,30,20,5,rule,buffer,LRPT,2447,0.636
TA,30,20,5,rule,buffer,SPT,2667,0.636
TA,30,20,6,rule,buffer,LTT,2242,0.6348
TA,30,20,6,rule,buffer,MOR,2295,0.6348
TA,30,20,6,rule,buffer,FDD/MWKR,2400,0.6348
TA,30,20,6,rule,buffer,LRPT,2263,0.6348
TA,30,20,6,rule,buffer,SPT,2620,0.6348
TA,30,20,7,rule,buffer,LTT,2277,0.6739
TA,30,20,7,rule,buffer,MOR,2312,0.6739
TA,30,20,7,rule,buffer,FDD/MWKR,2280,0.6739
TA,30,20,7,rule,buffer,LRPT,2356,0.6739
TA,30,20,7,rule,buffer,SPT,2620,0.6739
TA,30,20,8,rule,buffer,LTT,2463,0.6951
TA,30,20,8,rule,buffer,MOR,2395,0.6951
TA,30,20,8,rule,buffer,FDD/MWKR,2431,0.6951
TA,30,20,8,rule,buffer,LRPT,2382,0.6951
TA,30,20,8,rule,buffer,SPT,2666,0.6951
TA,30,20,9,rule,buffer,LTT,2383,0.657
TA,30,20,9,rule,buffer,MOR,2371,0.657
TA,30,20,9,rule,buffer,FDD/MWKR,2376,0.657
TA,30,20,9,rule,buffer,LRPT,2493,0.657
TA,30,20,9,rule,buffer,SPT,2429,0.657
TA,50,15,0,rule,buffer,LTT,3427,0.8932
TA,50,15,0,rule,buffer,MOR,3447,0.8932
TA,50,15,0,rule,buffer,FDD/MWKR,3486,0.8932
TA,50,15,0,rule,buffer,LRPT,3435,0.8932
TA,50,15,0,rule,buffer,SPT,3856,0.8932
TA,50,15,1,rule,buffer,LTT,3315,0.9085
TA,50,15,1,rule,buffer,MOR,3286,0.9085
TA,50,15,1,rule,buffer,FDD/MWKR,3276,0.9085
TA,50,15,1,rule,buffer,LRPT,3394,0.9085
TA,50,15,1,rule,buffer,SPT,3266,0.9085
TA,50,15,2,rule,buffer,LTT,3034,0.9389
TA,50,15,2,rule,buffer,MOR,3042,0.9389
TA,50,15,2,rule,buffer,FDD/MWKR,3059,0.9389
TA,50,15,2,rule,buffer,LRPT,3098,0.9389
TA,50,15,2,rule,buffer,SPT,3507,0.9389
TA,50,15,3,rule,buffer,LTT,3135,0.9225
TA,50,15,3,rule,buffer,MOR,3174,0.9225
TA,50,15,3,rule,buffer,FDD/MWKR,3053,0.9225
TA,50,15,3,rule,buffer,LRPT,3272,0.9225
TA,50,15,3,rule,buffer,SPT,3142,0.9225
TA,50,15,4,rule,buffer,LTT,3123,0.8486
TA,50,15,4,rule,buffer,MOR,3183,0.8486
TA,50,15,4,rule,buffer,FDD/MWKR,3103,0.8486
TA,50,15,4,rule,buffer,LRPT,3188,0.8486
TA,50,15,4,rule,buffer,SPT,3225,0.8486
TA,50,15,5,rule,buffer,LTT,3046,1.0096
TA,50,15,5,rule,buffer,MOR,3133,1.0096
TA,50,15,5,rule,buffer,FDD/MWKR,3223,1.0096
TA,50,15,5,rule,buffer,LRPT,3134,1.0096
TA,50,15,5,rule,buffer,SPT,3530,1.0096
TA,50,15,6,rule,buffer,LTT,3232,0.896
TA,50,15,6,rule,buffer,MOR,3285,0.896
TA,50,15,6,rule,buffer,FDD/MWKR,3298,0.896
TA,50,15,6,rule,buffer,LRPT,3261,0.896
TA,50,15,6,rule,buffer,SPT,3725,0.896
TA,50,15,7,rule,buffer,LTT,3314,0.9127
TA,50,15,7,rule,buffer,MOR,3380,0.9127
TA,50,15,7,rule,buffer,FDD/MWKR,3311,0.9127
TA,50,15,7,rule,buffer,LRPT,3365,0.9127
TA,50,15,7,rule,buffer,SPT,3365,0.9127
TA,50,15,8,rule,buffer,LTT,3083,0.9735
TA,50,15,8,rule,buffer,MOR,3069,0.9735
TA,50,15,8,rule,buffer,FDD/MWKR,3156,0.9735
TA,50,15,8,rule,buffer,LRPT,3131,0.9735
TA,50,15,8,rule,buffer,SPT,3294,0.9735
TA,50,15,9,rule,buffer,LTT,2978,1.0425
TA,50,15,9,rule,buffer,MOR,3046,1.0425
TA,50,15,9,rule,buffer,FDD/MWKR,3006,1.0425
TA,50,15,9,rule,buffer,LRPT,3122,1.0425
TA,50,15,9,rule,buffer,SPT,3500,1.0425
TA,50,20,0,rule,buffer,LTT,3335,1.4184
TA,50,20,0,rule,buffer,MOR,3298,1.4184
TA,50,20,0,rule,buffer,FDD/MWKR,3429,1.4184
TA,50,20,0,rule,buffer,LRPT,3343,1.4184
TA,50,20,0,rule,buffer,SPT,3606,1.4184
TA,50,20,1,rule,buffer,LTT,3274,1.4917
TA,50,20,1,rule,buffer,MOR,3423,1.4917
TA,50,20,1,rule,buffer,FDD/MWKR,3437,1.4917
TA,50,20,1,rule,buffer,LRPT,3462,1.4917
TA,50,20,1,rule,buffer,SPT,3639,1.4917
TA,50,20,2,rule,buffer,LTT,3171,1.3762
TA,50,20,2,rule,buffer,MOR,3150,1.3762
TA,50,20,2,rule,buffer,FDD/MWKR,3139,1.3762
TA,50,20,2,rule,buffer,LRPT,3233,1.3762
TA,50,20,2,rule,buffer,SPT,3521,1.3762
TA,50,20,3,rule,buffer,LTT,3172,1.3137
TA,50,20,3,rule,buffer,MOR,3081,1.3137
TA,50,20,3,rule,buffer,FDD/MWKR,3122,1.3137
TA,50,20,3,rule,buffer,LRPT,3188,1.3137
TA,50,20,3,rule,buffer,SPT,3447,1.3137
TA,50,20,4,rule,buffer,LTT,3323,1.2568
TA,50,20,4,rule,buffer,MOR,3235,1.2568
TA,50,20,4,rule,buffer,FDD/MWKR,3298,1.2568
TA,50,20,4,rule,buffer,LRPT,3429,1.2568
TA,50,20,4,rule,buffer,SPT,3332,1.2568
TA,50,20,5,rule,buffer,LTT,3221,1.2639
TA,50,20,5,rule,buffer,MOR,3281,1.2639
TA,50,20,5,rule,buffer,FDD/MWKR,3324,1.2639
TA,50,20,5,rule,buffer,LRPT,3287,1.2639
TA,50,20,5,rule,buffer,SPT,3677,1.2639
TA,50,20,6,rule,buffer,LTT,3260,1.3102
TA,50,20,6,rule,buffer,MOR,3245,1.3102
TA,50,20,6,rule,buffer,FDD/MWKR,3251,1.3102
TA,50,20,6,rule,buffer,LRPT,3351,1.3102
TA,50,20,6,rule,buffer,SPT,3487,1.3102
TA,50,20,7,rule,buffer,LTT,3048,1.2432
TA,50,20,7,rule,buffer,MOR,3206,1.2432
TA,50,20,7,rule,buffer,FDD/MWKR,3157,1.2432
TA,50,20,7,rule,buffer,LRPT,3203,1.2432
TA,50,20,7,rule,buffer,SPT,3336,1.2432
TA,50,20,8,rule,buffer,LTT,3496,1.2814
TA,50,20,8,rule,buffer,MOR,3534,1.2814
TA,50,20,8,rule,buffer,FDD/MWKR,3530,1.2814
TA,50,20,8,rule,buffer,LRPT,3550,1.2814
TA,50,20,8,rule,buffer,SPT,3862,1.2814
TA,50,20,9,rule,buffer,LTT,3443,1.2569
TA,50,20,9,rule,buffer,MOR,3588,1.2569
TA,50,20,9,rule,buffer,FDD/MWKR,3384,1.2569
TA,50,20,9,rule,buffer,LRPT,3482,1.2569
TA,50,20,9,rule,buffer,SPT,3801,1.2569
TA,100,20,0,rule,buffer,LTT,5801,3.1732
TA,100,20,0,rule,buffer,MOR,5916,3.1732
TA,100,20,0,rule,buffer,FDD/MWKR,5852,3.1732
TA,100,20,0,rule,buffer,LRPT,6036,3.1732
TA,100,20,0,rule,buffer,SPT,6232,3.1732
TA,100,20,1,rule,buffer,LTT,5414,3.1493
TA,100,20,1,rule,buffer,MOR,5501,3.1493
TA,100,20,1,rule,buffer,FDD/MWKR,5539,3.1493
TA,100,20,1,rule,buffer,LRPT,5583,3.1493
TA,100,20,1,rule,buffer,SPT,5973,3.1493
TA,100,20,2,rule,buffer,LTT,6065,3.1873
TA,100,20,2,rule,buffer,MOR,6125,3.1873
TA,100,20,2,rule,buffer,FDD/MWKR,6217,3.1873
TA,100,20,2,rule,buffer,LRPT,6050,3.1873
TA,100,20,2,rule,buffer,SPT,6482,3.1873
TA,100,20,3,rule,buffer,LTT,5553,3.1688
TA,100,20,3,rule,buffer,MOR,5492,3.1688
TA,100,20,3,rule,buffer,FDD/MWKR,5628,3.1688
TA,100,20,3,rule,buffer,LRPT,5678,3.1688
TA,100,20,3,rule,buffer,SPT,6062,3.1688
TA,100,20,4,rule,buffer,LTT,5970,3.1918
TA,100,20,4,rule,buffer,MOR,6106,3.1918
TA,100,20,4,rule,buffer,FDD/MWKR,6062,3.1918
TA,100,20,4,rule,buffer,LRPT,6029,3.1918
TA,100,20,4,rule,buffer,SPT,6217,3.1918
TA,100,20,5,rule,buffer,LTT,5908,3.1298
TA,100,20,5,rule,buffer,MOR,5829,3.1298
TA,100,20,5,rule,buffer,FDD/MWKR,5851,3.1298
TA,100,20,5,rule,buffer,LRPT,5887,3.1298
TA,100,20,5,rule,buffer,SPT,6370,3.1298
TA,100,20,6,rule,buffer,LTT,5767,3.1446
TA,100,20,6,rule,buffer,MOR,5705,3.1446
TA,100,20,6,rule,buffer,FDD/MWKR,5714,3.1446
TA,100,20,6,rule,buffer,LRPT,5905,3.1446
TA,100,20,6,rule,buffer,SPT,6045,3.1446
TA,100,20,7,rule,buffer,LTT,5700,3.1744
TA,100,20,7,rule,buffer,MOR,5894,3.1744
TA,100,20,7,rule,buffer,FDD/MWKR,5762,3.1744
TA,100,20,7,rule,buffer,LRPT,5700,3.1744
TA,100,20,7,rule,buffer,SPT,6143,3.1744
TA,100,20,8,rule,buffer,LTT,5563,3.1303
TA,100,20,8,rule,buffer,MOR,5594,3.1303
TA,100,20,8,rule,buffer,FDD/MWKR,5667,3.1303
TA,100,20,8,rule,buffer,LRPT,5749,3.1303
TA,100,20,8,rule,buffer,SPT,6018,3.1303
TA,100,20,9,rule,buffer,LTT,5413,3.2442
TA,100,20,9,rule,buffer,MOR,5627,3.2442
TA,100,20,9,rule,buffer,FDD/MWKR,5490,3.2442
TA,100,20,9,rule,buffer,LRPT,5505,3.2442
TA,100,20,9,rule,buffer,SPT,5848,3.2442
LA,10,5,0,rule,buffer,LTT,671,0.0419
LA,10,5,0,rule,buffer,MOR,732,0.0419
LA,10,5,0,rule,buffer,FDD/MWKR,747,0.0419
LA,10,5,0,rule,buffer,LRPT,735,0.0419
LA,10,5,0,rule,buffer,SPT,751,0.0419
LA,10,5,1,rule,buffer,LTT,835,0.0399
LA,10,5,1,rule,buffer,MOR,810,0.0399
LA,10,5,1,rule,buffer,FDD/MWKR,808,0.0399
LA,10,5,1,rule,buffer,LRPT,817,0.0399
LA,10,5,1,rule,buffer,SPT,821,0.0399
LA,10,5,2,rule,buffer,LTT,696,0.0359
LA,10,5,2,rule,buffer,MOR,653,0.0359
LA,10,5,2,rule,buffer,FDD/MWKR,652,0.0359
LA,10,5,2,rule,buffer,LRPT,696,0.0359
LA,10,5,2,rule,buffer,SPT,672,0.0359
LA,10,5,3,rule,buffer,LTT,696,0.0359
LA,10,5,3,rule,buffer,MOR,720,0.0359
LA,10,5,3,rule,buffer,FDD/MWKR,715,0.0359
LA,10,5,3,rule,buffer,LRPT,758,0.0359
LA,10,5,3,rule,buffer,SPT,711,0.0359
LA,10,5,4,rule,buffer,LTT,593,0.0359
LA,10,5,4,rule,buffer,MOR,593,0.0359
LA,10,5,4,rule,buffer,FDD/MWKR,593,0.0359
LA,10,5,4,rule,buffer,LRPT,593,0.0359
LA,10,5,4,rule,buffer,SPT,610,0.0359
LA,15,5,0,rule,buffer,LTT,926,0.0658
LA,15,5,0,rule,buffer,MOR,937,0.0658
LA,15,5,0,rule,buffer,FDD/MWKR,926,0.0658
LA,15,5,0,rule,buffer,LRPT,926,0.0658
LA,15,5,0,rule,buffer,SPT,1200,0.0658
LA,15,5,1,rule,buffer,LTT,960,0.0628
LA,15,5,1,rule,buffer,MOR,944,0.0628
LA,15,5,1,rule,buffer,FDD/MWKR,973,0.0628
LA,15,5,1,rule,buffer,LRPT,970,0.0628
LA,15,5,1,rule,buffer,SPT,1034,0.0628
LA,15,5,2,rule,buffer,LTT,893,0.0588
LA,15,5,2,rule,buffer,MOR,904,0.0588
LA,15,5,2,rule,buffer,FDD/MWKR,980,0.0588
LA,15,5,2,rule,buffer,LRPT,943,0.0588
LA,15,5,2,rule,buffer,SPT,942,0.0588
LA,15,5,3,rule,buffer,LTT,951,0.0628
LA,15,5,3,rule,buffer,MOR,951,0.0628
LA,15,5,3,rule,buffer,FDD/MWKR,951,0.0628
LA,15,5,3,rule,buffer,LRPT,1015,0.0628
LA,15,5,3,rule,buffer,SPT,1045,0.0628
LA,15,5,4,rule,buffer,LTT,958,0.0628
LA,15,5,4,rule,buffer,MOR,958,0.0628
LA,15,5,4,rule,buffer,FDD/MWKR,958,0.0628
LA,15,5,4,rule,buffer,LRPT,966,0.0628
LA,15,5,4,rule,buffer,SPT,1049,0.0628
LA,20,5,0,rule,buffer,LTT,1222,0.0797
LA,20,5,0,rule,buffer,MOR,1222,0.0797
LA,20,5,0,rule,buffer,FDD/MWKR,1238,0.0797
LA,20,5,0,rule,buffer,LRPT,1268,0.0797
LA,20,5,0,rule,buffer,SPT,1473,0.0797
LA,20,5,1,rule,buffer,LTT,1050,0.0817
LA,20,5,1,rule,buffer,MOR,1039,0.0817
LA,20,5,1,rule,buffer,FDD/MWKR,1039,0.0817
LA,20,5,1,rule,buffer,LRPT,1137,0.0817
LA,20,5,1,rule,buffer,SPT,1203,0.0817
LA,20,5,2,rule,buffer,LTT,1189,0.0886
LA,20,5,2,rule,buffer,MOR,1150,0.0886
LA,20,5,2,rule,buffer,FDD/MWKR,1150,0.0886
LA,20,5,2,rule,buffer,LRPT,1166,0.0886
LA,20,5,2,rule,buffer,SPT,1275,0.0886
LA,20,5,3,rule,buffer,LTT,1292,0.0825
LA,20,5,3,rule,buffer,MOR,1292,0.0825
LA,20,5,3,rule,buffer,FDD/MWKR,1292,0.0825
LA,20,5,3,rule,buffer,LRPT,1292,0.0825
LA,20,5,3,rule,buffer,SPT,1427,0.0825
LA,20,5,4,rule,buffer,LTT,1363,0.0817
LA,20,5,4,rule,buffer,MOR,1385,0.0817
LA,20,5,4,rule,buffer,FDD/MWKR,1361,0.0817
LA,20,5,4,rule,buffer,LRPT,1343,0.0817
LA,20,5,4,rule,buffer,SPT,1339,0.0817
